school,district,last_open_year,closed_for_sy,enrollment,level,city,county_fips,locale,town_lost_last_school,successor_school
ELI H BROWN JR ELEMENTARY SCHOOL,NELSON COUNTY,2003,2004,219,elementary,BLOOMFIELD,21179,8,False,
GRAPEVINE ELEMENTARY SCHOOL,PIKE COUNTY,2003,2004,113,elementary,PHYLLIS,21195,7,True,
JACKSON ROWE ELEMENTARY SCHOOL,PIKE COUNTY,2003,2004,260,elementary,STEELE,21195,7,True,
BARBOURVILLE ELEMENTARY,BARBOURVILLE INDEPENDENT,2004,2005,351,elementary,BARBOURVILLE,21121,6,False,
BARBOURVILLE HIGH SCHOOL,BARBOURVILLE INDEPENDENT,2004,2005,285,high,BARBOURVILLE,21121,6,False,
FIFTH DISTRICT ELEMENTARY SCHOOL,BUTLER COUNTY,2004,2005,207,elementary,MORGANTOWN,21031,7,False,
FOURTH DISTRICT ELEMENTARY SCHOOL,BUTLER COUNTY,2004,2005,123,elementary,MORGANTOWN,21031,7,False,
A.J. JOLLY ELEMENTARY SCHOOL,CAMPBELL COUNTY,2004,2005,147,elementary,CALIFORNIA,21037,8,True,
E B TERRY ELEMENTARY SCHOOL,GLASGOW INDEPENDENT,2004,2005,222,elementary,GLASGOW,21009,6,False,
HAPPY VALLEY ELEMENTARY SCHOOL,GLASGOW INDEPENDENT,2004,2005,231,elementary,GLASGOW,21009,6,False,
HAWESVILLE ELEMENTARY SCHOOL,HANCOCK COUNTY,2004,2005,264,elementary,HAWESVILLE,21091,8,False,
LEWISPORT ELEMENTARY SCHOOL,HANCOCK COUNTY,2004,2005,227,elementary,LEWISPORT,21091,8,False,
CREEKSIDE ELEMENTARY SCHOOL-SONORA,HARDIN COUNTY,2004,2005,279,elementary,SONORA,21093,8,False,
CREEKSIDE ELEMENTARY-UPTON CAMPUS,HARDIN COUNTY,2004,2005,105,elementary,UPTON,21093,8,True,
BECKHAM COMBS ELEMENTARY SCHOOL,KNOTT COUNTY,2004,2005,136,elementary,VEST,21119,7,True,
CANEY CREEK ELEMENTARY SCHOOL,KNOTT COUNTY,2004,2005,126,elementary,PIPPA PASSES,21119,7,True,
FLEMING NEON HIGH SCHOOL,LETCHER COUNTY,2004,2005,218,high,NEON,21133,7,False,
LETCHER HIGH SCHOOL,LETCHER COUNTY,2004,2005,178,high,LETCHER,21133,7,False,
WHITESBURG HIGH SCHOOL,LETCHER COUNTY,2004,2005,614,high,WHITESBURG,21133,7,False,
GRAND RIVERS ELEMENTARY SCHOOL,LIVINGSTON COUNTY,2004,2005,93,elementary,GRAND RIVERS,21139,7,True,
LEDBETTER ELEMENTARY SCHOOL,LIVINGSTON COUNTY,2004,2005,187,elementary,LEDBETTER,21139,7,True,
SMITHLAND ELEMENTARY SCHOOL,LIVINGSTON COUNTY,2004,2005,183,elementary,SMITHLAND,21139,7,False,
EARLE D JONES ELEMENTARY SCHOOL,MASON COUNTY,2004,2005,390,middle,MAYSVILLE,21161,6,False,
